Item Number,Commodity Type,Agile Commodity Code,Component Supplier Name,Volume YTD, Spend YTD , Savings YTD , Price YTD 
0104039J54,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104039J54-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,60615," $36,939.74 "," $1,070.71 ", $0.61 
0104039J70,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,33675," $42,430.50 ", $85.78 , $1.26 
0104039J81,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104039J86,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,44," $1,029.16 ", $-   , $23.39 
0104039J94,EMS,EMS - Assembly,Sanmina Corporation,549," $10,178.46 ", $-   , $18.54 
0104039J94,EMS,EMS - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,8551," $158,535.54 ", $-   , $18.54 
0104039J95,EMS,EMS - Assembly,Sanmina Corporation,769," $9,940.86 ", $-   , $12.93 
0104039J95,EMS,EMS - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,5705," $73,748.54 ", $-   , $12.93 
0104040J01,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,51384," $64,743.84 ", $118.18 , $1.26 
0104040J04,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,1074," $5,236.34 ", $63.63 , $4.87 
0104040J04-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,112, $112.23 , $2.92 , $1.00 
0104040J12,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,298052," $375,545.52 ", $831.57 , $1.26 
0104040J50,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104040J50-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104040J51,Connectors,Connector - Custom,Wpg South Asia Pte Ltd,2793," $35,610.75 ", $-   , $12.75 
0104041J14,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104041J66,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104041J77,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,47266," $59,555.16 ", $108.71 , $1.26 
0104041J78,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,384, $483.84 , $0.88 , $1.26 
0104041J79,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,194, $244.44 , $0.45 , $1.26 
0104041J82,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104041J91,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,912," $1,149.12 ", $2.10 , $1.26 
0104042J07,Plastics,Plastics - Assembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104042J12,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104042J27,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104042J27-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104042J56,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104042J81,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104042J81-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104042J82,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104042J82-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104043J05,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104043J16,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104043J17,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104044J89,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104045J30,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104045J47,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104045J48,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104045J94,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104045J94-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,280, $286.97 , $7.50 , $1.02 
0104045J96,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104045J96-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,2120," $1,107.19 ", $(0.13), $0.52 
0104047J41,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104052J13,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,1008," $7,916.34 ", $7.55 , $7.86 
0104052J13-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,30352," $29,771.56 ", $240.50 , $0.98 
0104052J21,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104052J21-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104052J96,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104052J96-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104052J98,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104052J98-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104054J28-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,88, $60.82 , $(0.01), $0.69 
0104054J33,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104054J33-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104054J39,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104054J64,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J09,Plastics,Plastics - Assembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104055J44,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J44-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J65,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J65-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J86,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J86-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J87,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104055J87-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J13,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J13-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J39-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J59,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J59-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J86,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J86-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104056J91,Plastics,Plastics - Assembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,48854," $61,556.04 ", $112.36 , $1.26 
0104057J11,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J11-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J12,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J12-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J18,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J18-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104057J23,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104058J53,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104058J54,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104058J84,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104058J84-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104058J97,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104058J97-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104059J106,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104059J106-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J06,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J06-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J09,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina-SCI Systems (Malaysia) Sdn Bhd,240, $838.80 , $-   , $3.50 
0104060J32,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J32-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J59,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,19890," $160,697.19 "," $1,446.09 ", $8.09 
0104060J61,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J65,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J65-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104060J76,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104060J82,Die Casting,Die Casting - Magnesium,Sanmina Corporation.,5588," $13,970.00 ", $-   , $2.50 
0104062J07,Memory,Memory - Programmable Flash,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1116," $2,957.40 ", $-   , $2.65 
0104062J19,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,2205," $4,877.54 ", $31.67 , $2.24 
0104062J20,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,1982," $4,107.87 ", $(3.94), $2.08 
0104062J60,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104062J60-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104062J61,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104062J61-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104062J62,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104062J62-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104063J03,Flex,Flex - Standard,Sanmina-SCI Systems (Malaysia) Sdn Bhd,102, $844.44 , $(30.99), $8.28 
0104063J28,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104063J28-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,100, $77.92 , $-   , $0.78 
0104063J29,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104063J29-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,114580," $43,435.55 ", $830.15 , $0.38 
0104063J58,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,1806," $51,358.18 ", $93.44 , $28.43 
0104063J72,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104063J72-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104063J98,Rubber,Rubber - Compression Molding,Sanmina-SCI Systems (Malaysia) Sdn Bhd,4033," $5,017.76 ", $(348.12), $1.22 
0104064J05,Rubber,Rubber - Keypad,Sanmina-SCI Systems (Malaysia) Sdn Bhd,472," $1,949.36 ", $-   , $4.13 
0104064J07,Rubber,Rubber - Keypad,Sanmina-SCI Systems (Malaysia) Sdn Bhd,60, $270.00 , $-   , $4.50 
0104064J12,Die Casting,Die Casting - Magnesium,Sanmina-SCI Systems (Malaysia) Sdn Bhd,51, $547.81 , $(2.19), $10.74 
0104064J38-CONV,Mech Assembly,MSA-CONV,Pan International Electronics (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0104064J95,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104064J95-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104064J98,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104064J98,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104065J15,Mech Assembly,Mechanical Assembly - Subassembly,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
0104065J15-CONV,Mech Assembly,MSA-CONV,Hotayi Electronic (M) Sdn. Bhd.,0, $-   , $-   , $-   
